Date,Price,Open,High,Low,Vol.,Change %,Symbol
23-11-2023,260.75,262.1,263.75,259.8,5.47M,-0.52%,TTPW
22-11-2023,262.1,263.4,263.6,259.25,4.54M,-0.21%,TTPW
21-11-2023,262.65,263.75,265.4,260.75,6.93M,0.69%,TTPW
20-11-2023,260.85,263.85,264.4,260.1,4.86M,-0.69%,TTPW
17-11-2023,262.65,262.9,264.95,261.4,6.45M,0.08%,TTPW
16-11-2023,262.45,259.4,265.5,259.35,13.55M,1.25%,TTPW
15-11-2023,259.2,259.2,262.25,258.1,8.44M,0.84%,TTPW
13-11-2023,257.05,252.75,258.5,251.25,10.25M,1.54%,TTPW
12-11-2023,253.15,253,253.6,252.95,2.57M,0.70%,TTPW
10-11-2023,251.4,248,251.85,246.85,6.97M,1.37%,TTPW
09-11-2023,248,254,254,247.2,15.39M,-2.73%,TTPW
08-11-2023,254.95,252.9,256.35,251.5,13.13M,2.06%,TTPW
07-11-2023,249.8,249.95,252,248.9,7.07M,0.10%,TTPW
06-11-2023,249.55,247,251.2,245.6,9.39M,2.02%,TTPW
03-11-2023,244.6,245.85,246.15,243.9,5.03M,-0.08%,TTPW
02-11-2023,244.8,238,245.05,238,9.82M,3.33%,TTPW
01-11-2023,236.9,239.95,240.25,236.3,4.03M,-1.02%,TTPW
31-10-2023,239.35,240.5,241.85,238.25,6.27M,0.10%,TTPW
30-10-2023,239.1,238.5,239.9,235,5.66M,0.40%,TTPW
27-10-2023,238.15,236.15,239,235.5,7.03M,1.60%,TTPW
26-10-2023,234.4,235,235.35,230.8,9.27M,-0.97%,TTPW
25-10-2023,236.7,239.85,241.65,233.15,9.56M,-0.65%,TTPW
23-10-2023,238.25,248.35,248.75,236.3,9.55M,-3.70%,TTPW
20-10-2023,247.4,251.5,252.4,246.6,7.68M,-1.83%,TTPW
19-10-2023,252,252.55,252.9,249.5,4.78M,-0.41%,TTPW
18-10-2023,253.05,257,257.7,251.5,6.00M,-1.50%,TTPW
17-10-2023,256.9,256.85,259.3,256,6.34M,0.82%,TTPW
16-10-2023,254.8,254.1,256.85,253.55,6.72M,0.28%,TTPW
13-10-2023,254.1,254.45,255.9,253.2,4.30M,-0.41%,TTPW
12-10-2023,255.15,255.4,257.4,254.7,5.38M,0.47%,TTPW
11-10-2023,253.95,255.2,256.4,253.1,6.25M,0.02%,TTPW
10-10-2023,253.9,250.5,255,250.5,5.95M,1.56%,TTPW
09-10-2023,250,255.1,255.95,249.1,11.21M,-3.38%,TTPW
06-10-2023,258.75,259.5,259.95,258.05,3.83M,0.37%,TTPW
05-10-2023,257.8,258.6,260.2,256,6.68M,0.45%,TTPW
04-10-2023,256.65,262.95,262.95,253.5,12.53M,-2.77%,TTPW
03-10-2023,263.95,262.55,266.5,260.8,7.14M,0.63%,TTPW
29-09-2023,262.3,259.45,264.75,259.45,10.21M,1.65%,TTPW
28-09-2023,258.05,262,264.25,257.3,11.27M,-0.65%,TTPW
27-09-2023,259.75,259.85,260.6,256.55,5.65M,-0.04%,TTPW
26-09-2023,259.85,257.1,263.75,257,9.19M,1.15%,TTPW
25-09-2023,256.9,258.2,258.3,255,5.38M,-0.08%,TTPW
22-09-2023,257.1,257.15,259,254.25,6.83M,0.18%,TTPW
21-09-2023,256.65,261.95,262,256.05,7.95M,-2.04%,TTPW
20-09-2023,262,265.35,267,261,9.02M,-1.34%,TTPW
18-09-2023,265.55,265.4,266.75,262.3,8.43M,0.61%,TTPW
15-09-2023,263.95,267.1,267.95,263.1,7.61M,-0.43%,TTPW
14-09-2023,265.1,266.85,268,263.45,7.92M,0.04%,TTPW
13-09-2023,265,263.5,267.6,261,11.80M,0.88%,TTPW
12-09-2023,262.7,276,276,260,23.74M,-3.38%,TTPW
11-09-2023,271.9,274,274,269.15,16.45M,1.13%,TTPW
08-09-2023,268.85,264.85,276.5,263.7,53.02M,1.95%,TTPW
07-09-2023,263.7,258,266.35,256.3,17.70M,2.41%,TTPW
06-09-2023,257.5,261,261.8,254.65,9.25M,-0.37%,TTPW
05-09-2023,258.45,260.8,262.5,255.65,14.99M,-0.27%,TTPW
04-09-2023,259.15,257.95,262.3,255.1,18.77M,1.49%,TTPW
01-09-2023,255.35,246.75,255.95,246.1,28.05M,4.18%,TTPW
31-08-2023,245.1,248.65,249.75,244.25,11.64M,-0.91%,TTPW
30-08-2023,247.35,248,250.5,246.9,8.23M,0.18%,TTPW
29-08-2023,246.9,245,248.5,244.95,7.27M,0.80%,TTPW
28-08-2023,244.95,246.15,246.9,243.7,7.40M,-0.26%,TTPW
25-08-2023,245.6,249.65,251.7,243.4,15.08M,-1.66%,TTPW
24-08-2023,249.75,247,252.8,246.5,28.70M,1.69%,TTPW
23-08-2023,245.6,244.65,248.5,243.5,23.01M,0.86%,TTPW
22-08-2023,243.5,242,244.1,239.6,22.42M,1.73%,TTPW
21-08-2023,239.35,230.65,240.4,230.1,14.52M,4.02%,TTPW
18-08-2023,230.1,232.5,233.5,229.6,6.81M,-1.03%,TTPW
17-08-2023,232.5,234.95,235.85,231.9,6.54M,-1.04%,TTPW
16-08-2023,234.95,230,235.5,228.05,6.72M,1.64%,TTPW
14-08-2023,231.15,236,236.15,229.1,10.73M,-2.14%,TTPW
11-08-2023,236.2,238.05,238.35,235.15,6.88M,-0.40%,TTPW
10-08-2023,237.15,236,241.7,233.5,25.16M,0.96%,TTPW
09-08-2023,234.9,237,237,232,10.52M,0.43%,TTPW
08-08-2023,233.9,234.5,236.65,230.5,9.46M,0.47%,TTPW
07-08-2023,232.8,236.9,237,232.2,7.29M,-1.21%,TTPW
04-08-2023,235.65,237,237.35,234.5,7.71M,0.08%,TTPW
03-08-2023,235.45,235.25,237.6,232.55,10.78M,-0.13%,TTPW
02-08-2023,235.75,244.7,244.7,233.3,22.64M,-3.54%,TTPW
01-08-2023,244.4,237.4,245.4,236.25,27.54M,3.25%,TTPW
31-07-2023,236.7,236.55,238.9,235.2,18.68M,0.87%,TTPW
28-07-2023,234.65,220.9,237.2,220,57.65M,6.22%,TTPW
27-07-2023,220.9,222.25,222.55,220.5,7.85M,-0.27%,TTPW
26-07-2023,221.5,220.4,222.4,219.8,8.51M,0.93%,TTPW
25-07-2023,219.45,217.5,220.5,217.5,7.60M,0.97%,TTPW
24-07-2023,217.35,218.25,218.75,216.8,4.39M,-0.02%,TTPW
21-07-2023,217.4,218.15,219.2,216.75,5.72M,-0.34%,TTPW
20-07-2023,218.15,219.8,220.65,217.75,6.91M,-0.62%,TTPW
19-07-2023,219.5,221.4,221.4,217.5,14.48M,-0.90%,TTPW
18-07-2023,221.5,224.2,224.3,220.75,6.70M,-0.89%,TTPW
17-07-2023,223.5,221.95,224.7,221.25,7.07M,1.11%,TTPW
14-07-2023,221.05,222.75,222.75,218.55,10.19M,-0.36%,TTPW
13-07-2023,221.85,227,227.2,220.9,9.39M,-1.97%,TTPW
12-07-2023,226.3,226.25,227.25,225.2,7.37M,0.35%,TTPW
11-07-2023,225.5,226,226.85,224.7,5.16M,0.22%,TTPW
10-07-2023,225,229.25,229.25,224.65,7.14M,-1.32%,TTPW
07-07-2023,228,229.8,232.35,226.1,16.59M,-0.70%,TTPW
06-07-2023,229.6,225,230.3,223.55,30.89M,3.56%,TTPW
05-07-2023,221.7,220.95,223.75,220.55,5.88M,0.48%,TTPW
04-07-2023,220.65,222.1,223.3,220.2,4.60M,-0.56%,TTPW
03-07-2023,221.9,222.9,224.2,221.6,5.79M,0.02%,TTPW
30-06-2023,221.85,219.7,222.5,218.85,9.94M,1.74%,TTPW
28-06-2023,218.05,219.95,220.95,217.55,8.35M,-0.55%,TTPW
27-06-2023,219.25,218.9,220.5,218.6,4.69M,0.30%,TTPW
26-06-2023,218.6,218.3,219.35,216.3,5.14M,0.14%,TTPW
23-06-2023,218.3,222,222.1,215.7,10.89M,-1.27%,TTPW
22-06-2023,221.1,224.85,225.15,220.5,6.86M,-1.43%,TTPW
21-06-2023,224.3,225.25,226,222.6,6.99M,-0.29%,TTPW
20-06-2023,224.95,223.1,226.35,222.6,11.22M,0.81%,TTPW
19-06-2023,223.15,223,224.15,221,7.47M,0.40%,TTPW
16-06-2023,222.25,221.9,223.7,220.9,7.14M,0.75%,TTPW
15-06-2023,220.6,224.4,224.65,220.15,7.67M,-1.58%,TTPW
14-06-2023,224.15,222.5,225.25,221.55,10.51M,1.06%,TTPW
13-06-2023,221.8,221.5,222.8,220.85,6.25M,0.38%,TTPW
12-06-2023,220.95,221.95,223.55,220.35,6.34M,-0.11%,TTPW
09-06-2023,221.2,224.6,224.6,220.2,11.05M,0.25%,TTPW
08-06-2023,220.65,218.95,226.2,218.45,31.06M,1.01%,TTPW
07-06-2023,218.45,216.6,219.65,214.1,11.39M,0.78%,TTPW
06-06-2023,216.75,219.8,219.8,215.55,8.30M,-1.05%,TTPW
05-06-2023,219.05,217,219.4,216.15,8.69M,1.58%,TTPW
02-06-2023,215.65,216.4,216.9,215,4.91M,0.16%,TTPW
01-06-2023,215.3,213.95,217,213,6.32M,0.82%,TTPW
31-05-2023,213.55,216.9,219,212.9,11.30M,-1.54%,TTPW
30-05-2023,216.9,218,218.45,215,11.98M,-0.05%,TTPW
29-05-2023,217,213,217.7,211.7,12.96M,2.26%,TTPW
26-05-2023,212.2,212.25,213.8,210.65,8.48M,0.66%,TTPW
25-05-2023,210.8,207.2,211.2,206.55,8.71M,1.76%,TTPW
24-05-2023,207.15,206.65,208,205.55,5.45M,0.12%,TTPW
23-05-2023,206.9,206.5,207.45,205.5,5.02M,0.34%,TTPW
22-05-2023,206.2,206,206.9,204.1,5.58M,0.17%,TTPW
